player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Cockerill, Aaron",DP World Tour,368,1,-0.822,337,-7,null,0
"Dean, Joe",DP World Tour,369,1,-0.825,151,-3,null,0
"Teater, Josh",Korn Ferry Tour,370,61,-0.827,301,25,null,0
"Larrazabal, Pablo",DP World Tour,371,1,-0.831,243,-6,null,0
"Sharma, Shubhankar",DP World Tour,372,1,-0.832,271,-3,null,0
"Villegas, Camilo",PGA Tour,373,29,-0.833,242,8,null,0
"Waring, Paul",DP World Tour,374,-60,-0.834,130,-1,null,0
"Velo, Kevin",Korn Ferry Tour,375,-17,-0.834,355,-9,null,0
"Premlall, Yurav",Other Tours,376,-1,-0.844,465,-3,null,0
"Lipsky, David",PGA Tour,377,-37,-0.844,183,-1,null,0
"Reavie, Chez",PGA Tour,378,-1,-0.845,376,-7,null,0
"Steinlechner, Maximilian",Challenge Tour,379,-1,-0.848,352,-2,null,0
"Crowe, Trace",PGA Tour,380,44,-0.848,282,3,null,0
"Kozuma, Jinichiro",Other Tours,381,-1,-0.849,455,-8,null,0
"Lee, Chieh-Po",Other Tours,382,-98,-0.853,269,-3,null,0
